name,tier,lines,quests,aliases,removed_content_only,formats,wiki_url,image_url,appears_in
Kaio,rare,53,5,,False,quest,https://wynncraft.wiki.gg/wiki/Kaio,https://wynncraft.wiki.gg/images/KaioPortraitNeutral.png?569c96,A Journey Home | A New Beginning | Ensemble of Hope | Revelations in Fall | The Cursed One
The Cook,rare,53,3,,False,"quest,template",https://wynncraft.wiki.gg/wiki/The_Cook,https://wynncraft.wiki.gg/images/TheCook.png?9d1d43,Cook Assistant | Cook Assistant (2.1.1) | The Cook
Svin,rare,53,2,,False,"quest,template",https://wynncraft.wiki.gg/wiki/Svin,https://wynncraft.wiki.gg/images/Svin.png?66196d,Canyon Condor | Svin
Thomas,rare,53,3,,False,"quest,template",https://wynncraft.wiki.gg/wiki/Thomas,https://wynncraft.wiki.gg/images/Thomas.png?dd6648,Creeper Infiltration | Creeper Infiltration (1.15) | Thomas
Therck,rare,52,4,,False,"quest,template",https://wynncraft.wiki.gg/wiki/Therck,https://wynncraft.wiki.gg/images/Therck.png?359a98,Enzan | Enzan's Brother | Enzan's Brother (1.19) | Therck
Katarin,rare,52,1,,False,quest,,,Hollow Serenity
Tolem,rare,52,3,,False,"quest,template",https://wynncraft.wiki.gg/wiki/Tolem,https://wynncraft.wiki.gg/images/Tolem.png?2a4713,The Shadow of the Beast | The Shadow of the Beast (1.19) | Tolem
Avos Chieftain,rare,51,3,,False,quest,,,A Hunter's Calling | Avos Chief | The Feathers Fly Part I
Captain Kymer,rare,51,4,,False,quest,https://wynncraft.wiki.gg/wiki/Captain_Kymer,https://wynncraft.wiki.gg/images/CaptainKymer.png?a81976,Captain Kymer | Clearing the Camps | Clearing the Camps (1.19) | Queen's Recruit
Soldier,rare,50,9,,False,"quest,template",https://wynncraft.wiki.gg/wiki/Soldier,https://wynncraft.wiki.gg/images/Regular_Soldier.png?3cb51c,A Journey Home | All Roads to Peace | Dwarves and Doguns Part IV | King's Recruit | King's Recruit (1.17) | King's Recruit (1.18) | King's Recruit (2.1) | Reclaiming the House | The Dark Descent
Captain Cileon,rare,50,4,Cileon,False,quest,https://wynncraft.wiki.gg/wiki/Captain_Cileon,https://wynncraft.wiki.gg/images/CileonPortrait.png?ca9e12,Apotheosis (Quest) | Ensemble of Hope | Shrouded in Mist | True Colours
Lanu,rare,50,3,,False,"quest,template",https://wynncraft.wiki.gg/wiki/Lanu,https://wynncraft.wiki.gg/images/Lanu.png?c958c9,Corrupted Betrayal | Queen's Recruit | The Mercenary
General Graken,rare,50,2,,False,template,https://wynncraft.wiki.gg/wiki/General_Graken,https://wynncraft.wiki.gg/images/GeneralGraken.png?e18281,General Graken | The Dark Descent
Psilo,rare,50,2,,False,quest,https://wynncraft.wiki.gg/wiki/Psilo,https://wynncraft.wiki.gg/images/Psilo.png?a49f9c,Psilo | The Bigger Picture
"Qira, Mistress of the Hive",rare,50,2,Qira,False,"quest,template",https://wynncraft.wiki.gg/wiki/Qira%2C_Mistress_of_the_Hive,https://wynncraft.wiki.gg/images/Qira%2CMistressoftheHive%28Phase1%29.png?28d3e1,"Qira, Mistress of the Hive | The Qira Hive (Quest)"
Fia,rare,49,1,,False,quest,,https://wynncraft.wiki.gg/images/Fia.png?7120c2,A Croaking Cryptid
Pastor Arwes,rare,49,2,Arwes,False,"quest,template",https://wynncraft.wiki.gg/wiki/Pastor_Arwes,https://wynncraft.wiki.gg/images/PastorArwes.png?cf8994,Eye of the Storm | Pastor Arwes
Anast,rare,48,4,,False,quest,https://wynncraft.wiki.gg/wiki/Anast,https://wynncraft.wiki.gg/images/Anast.png?d44b53,A Hunter's Calling | Anast | Crop Failure | Crop Failure (1.19)
Amber,rare,47,1,,False,quest,,https://wynncraft.wiki.gg/images/Amber.png?ebabf8,Aldorei's Secret Part II
?̵̗̀?̴̭͑?̵̳̫͘?̷̲̳̌̊?̵̆ͅ?̵͔͎́,rare,47,1,,False,quest,,,The Missing Piece
Gawrick,rare,46,3,,False,quest,https://wynncraft.wiki.gg/wiki/Gawrick,https://wynncraft.wiki.gg/images/Gawrick.png?d7e337,Fallen Delivery | Fallen Delivery (1.20) | Gawrick
Jenprest,rare,46,2,,False,"quest,template",https://wynncraft.wiki.gg/wiki/Jenprest,https://wynncraft.wiki.gg/images/Jenprest.png?bd2b3f,Queen's Recruit | The Sewers of Ragni
Captain Enduyn,rare,45,3,Enduyn,False,"quest,template",https://wynncraft.wiki.gg/wiki/Captain_Enduyn,https://wynncraft.wiki.gg/images/CaptainEnduyn.png?e812cf,Arachnids' Ascent | Arachnids' Ascent (2.0.2) | Captain Enduyn
Arrai-Veretel,rare,45,1,,False,quest,https://wynncraft.wiki.gg/wiki/Arrai-Veretel,https://wynncraft.wiki.gg/images/Arrai-Veretel.png?7d1a14,All Roads to Peace
Bleeding Rose,rare,45,3,,False,quest,,,Apotheosis (Quest) | Ensemble of Hope | Overture to Despair
Rusty Bartender,rare,44,4,,False,quest,https://wynncraft.wiki.gg/wiki/Rusty_Bartender,https://wynncraft.wiki.gg/images/RustyBartender.png?a802d9,A Journey Beyond | Dodegar | Junes | Rusty Bartender
Sensei Miyagi,rare,44,3,,False,quest,https://wynncraft.wiki.gg/wiki/Sensei_Miyagi,https://wynncraft.wiki.gg/images/SenseiMiyagi.png?b90315,Enter the Dojo | Enter the Dojo (1.20) | Sensei Miyagi
Galippe,rare,44,1,,False,template,https://wynncraft.wiki.gg/wiki/Galippe,https://wynncraft.wiki.gg/images/Galippe.png?64fbac,Galippe
Vera,rare,44,2,,False,quest,https://wynncraft.wiki.gg/wiki/Vera,https://wynncraft.wiki.gg/images/Vera.png?e66ffa,Hollow Serenity | Vera
Lighthouse Keeper,rare,44,1,,False,template,https://wynncraft.wiki.gg/wiki/Lighthouse_Keeper,https://wynncraft.wiki.gg/images/LighthouseKeeper.png?bbd115,Lighthouse Keeper
The Hoarder,rare,44,1,,False,template,https://wynncraft.wiki.gg/wiki/The_Hoarder,https://wynncraft.wiki.gg/images/TheHoarder.png?86242d,The Hoarder
Croaquin,rare,43,1,,False,quest,https://wynncraft.wiki.gg/wiki/Croaquin,https://wynncraft.wiki.gg/images/Croaquin.png?d267a3,A Croaking Cryptid
Villager,rare,43,3,,False,quest,,https://wynncraft.wiki.gg/images/Villager.png?4a0135,Hollow Serenity | The Fallen Protector | Villager (Hollow Serenity)
Ariodo,rare,43,2,,False,quest,https://wynncraft.wiki.gg/wiki/Ariodo,https://wynncraft.wiki.gg/images/Ariodo.png?cb3a34,Out of My Mind (1.15) | Out of my Mind
Mel,rare,43,2,,False,"quest,template",https://wynncraft.wiki.gg/wiki/Mel,https://wynncraft.wiki.gg/images/Mel.png?272dfc,Queen's Recruit | The Mercenary
Military Instructor,rare,43,1,,False,quest,,,The Strong Survive
Burtur,rare,42,3,,False,"quest,template",https://wynncraft.wiki.gg/wiki/Burtur,https://wynncraft.wiki.gg/images/Burtur.png?3b7f93,Burtur | Lazarus Pit (1.19) | Lazarus Pit (Quest)
Island Worker,rare,42,3,,False,"quest,template",https://wynncraft.wiki.gg/wiki/Island_Worker,https://wynncraft.wiki.gg/images/IslandWorker%28NPC%29.png?185cb5,Citizen | Island Worker | Island Worker (NPC)
Llevigar Citizen,rare,42,2,,False,"quest,template",,https://wynncraft.wiki.gg/images/LlevigarCitizen.png?b5833b,Citizen | Llevigar Citizen (NPC)
Old Man Martyn,rare,42,2,,False,template,https://wynncraft.wiki.gg/wiki/Old_Man_Martyn,https://wynncraft.wiki.gg/images/OldManMartyn.png?4ec37a,Deja Vu | Tempo Town Trouble
Silverbull Beacon Expert,rare,42,1,,False,template,https://wynncraft.wiki.gg/wiki/Silverbull_Beacon_Expert,https://wynncraft.wiki.gg/images/SilverbullBeaconExpert.png?961d7a,Silverbull Beacon Expert
Detective Jackson,rare,41,2,,False,quest,https://wynncraft.wiki.gg/wiki/Detective_Jackson,https://wynncraft.wiki.gg/images/DetectiveJackson.png?4a5973,Blazing Retribution | Green Skinned Trouble
Jitak,rare,41,2,,False,quest,https://wynncraft.wiki.gg/wiki/Jitak,https://wynncraft.wiki.gg/images/Jitak.png?6baf1c,Hunger of the Gerts Part I | The Hunger of Gerts Part 1 (1.20)
Recruiter Effal,rare,41,1,,False,quest,,,The Strong Survive
Corkus Jeweler,rare,40,3,,False,"quest,template",,https://wynncraft.wiki.gg/images/CorkusJeweler.png?fe4ac8,Citizen | Corkian Jeweler | The Feathers Fly Part II
Sovereign Gikyo,rare,40,2,Gikyo,False,quest,https://wynncraft.wiki.gg/wiki/Sovereign_Gikyo,https://wynncraft.wiki.gg/images/SovereignGikyo.png?1052e0,First Wicker's Spark | True Colours
Gert Guard,rare,40,1,,False,quest,,https://wynncraft.wiki.gg/images/GertGuard.png?b7d53c,Hunger of the Gerts Part I
Yavlis,rare,40,3,,False,"quest,template",https://wynncraft.wiki.gg/wiki/Yavlis,https://wynncraft.wiki.gg/images/Yavlis.png?b4c3f9,Lost Royalty | Prince of Troms | Yavlis
Durbeo,rare,39,2,,False,quest,https://wynncraft.wiki.gg/wiki/Durbeo,https://wynncraft.wiki.gg/images/Durbeo.png?c80682,All Roads to Peace | Durbeo
Ann,rare,39,3,,False,quest,https://wynncraft.wiki.gg/wiki/Ann,https://wynncraft.wiki.gg/images/Ann.png?9be532,Ann | Hollow Serenity | Qunit
Stall Attendant,rare,39,1,,False,quest,,,Celebrations in Smoke
Jofash Clairvoyant,rare,39,1,,False,quest,,https://wynncraft.wiki.gg/images/JofashClairvoyant.png?77586c,Fantastic Voyage
Cikal,rare,39,3,,False,quest,https://wynncraft.wiki.gg/wiki/Cikal,https://wynncraft.wiki.gg/images/Cikal.png?b09890,Hunger of the Gerts Part I | Hunger of the Gerts Part II | The Hunger of Gerts Part 1 (1.20)
Mayor Alvin,rare,39,5,Alvin,False,"quest,template",https://wynncraft.wiki.gg/wiki/Mayor_Alvin,https://wynncraft.wiki.gg/images/MayorAlvin.png?d49c8a,Infested Plants | Mayor Alvin | Mushroom Man | Non-Quest NPCs | Supply and Delivery
Bulbo,rare,38,2,,False,"quest,template",https://wynncraft.wiki.gg/wiki/Bulbo,https://wynncraft.wiki.gg/images/Bulbo%28FestivaloftheBonfire%29.png?326e3f,Bulbo | Lord of the Clock
Tom,rare,38,1,Old Tom; Tommy,True,quest,https://wynncraft.wiki.gg/wiki/Tom,https://wynncraft.wiki.gg/images/Tom.png?9759db,Craftmas Chaos
Sanba,rare,38,2,,False,quest,https://wynncraft.wiki.gg/wiki/Sanba,https://wynncraft.wiki.gg/images/Sanba.png?9f18da,Dwarves and Doguns Part III | Sanba
Hans,rare,37,2,,False,quest,https://wynncraft.wiki.gg/wiki/Hans,https://wynncraft.wiki.gg/images/Hans.png?251aa6,A Headless History | Hans (Wynnter Fair)
Voer,rare,37,2,,False,quest,https://wynncraft.wiki.gg/wiki/Voer,https://wynncraft.wiki.gg/images/Voer.png?5b224b,Death Whistle (1.19) | Death Whistle (Quest)
Prince Sain,rare,37,1,,False,template,,,Prince of Troms
Inquisitor,rare,37,2,,False,quest,,,Recover the Past | The Missing Piece
Sherk,rare,37,3,,False,quest,https://wynncraft.wiki.gg/wiki/Sherk,https://wynncraft.wiki.gg/images/Sherk.png?54f82e,Sherk | The Maiden Tower | The Maiden Tower (1.19)
Malo,rare,37,2,,False,quest,https://wynncraft.wiki.gg/wiki/Malo,https://wynncraft.wiki.gg/images/Malo.png?3c0f1f,The Worm Holes | The Worm Holes (1.19)
Alem,rare,36,2,,False,quest,https://wynncraft.wiki.gg/wiki/Alem,https://wynncraft.wiki.gg/images/Alem.png?3ea316,A Grave Mistake | Alem
Norsten,rare,36,2,,False,"quest,template",https://wynncraft.wiki.gg/wiki/Norsten,https://wynncraft.wiki.gg/images/Norsten.png?8af759,A Marauder's Dues | A Marauder's Dues (1.20)
Girazh,rare,36,1,,False,quest,,https://wynncraft.wiki.gg/images/Girazh.png?461e30,A People's Sovereign
Aihan,rare,36,1,,False,quest,,,Solidarity of Steel
Admiral Amerigo,rare,36,2,Amerigo,False,"quest,template",https://wynncraft.wiki.gg/wiki/Admiral_Amerigo,https://wynncraft.wiki.gg/images/AdmiralAmerigo.png?e8d3d8,The Mercenary | The Mercenary (2.0.4)
Citizen,uncommon,35,3,,False,quest,https://wynncraft.wiki.gg/wiki/Citizen,https://wynncraft.wiki.gg/images/AlekinCitizen%28NPC1%29.png?44649a,A Hunter's Calling | Echoes of Change | Pottery Wheel
"""Carl""",uncommon,35,2,Carl,False,"quest,template",https://wynncraft.wiki.gg/wiki/%22Carl%22,https://wynncraft.wiki.gg/images/Carl.png?7642aa,"""Carl"" | The Feathers Fly Part II"
Caravan Driver,uncommon,35,6,,False,"quest,template",https://wynncraft.wiki.gg/wiki/Caravan_Driver,https://wynncraft.wiki.gg/images/CaravanDriver.png?143534,A Journey Home | King's Recruit | King's Recruit (1.13) | King's Recruit (1.17) | King's Recruit (1.18) | King's Recruit (2.1)
Legendary Attendant,uncommon,35,2,,False,"quest,template",,,Citizen | Legendary Attendant (NPC)
Chieftain Paku,uncommon,35,4,Dogun Chieftain,False,quest,https://wynncraft.wiki.gg/wiki/Chieftain_Paku,https://wynncraft.wiki.gg/images/DogunChieftain.png?a4b47e,Dwarves and Doguns Part II | Dwarves and Doguns Part III | Dwarves and Doguns Part IV | The Breaking Point
Rohem,uncommon,35,2,,False,quest,https://wynncraft.wiki.gg/wiki/Rohem,https://wynncraft.wiki.gg/images/Rohem.png?920d67,Murder Mystery | Murder Mystery (1.20)
Tiek,uncommon,35,1,,True,quest,https://wynncraft.wiki.gg/wiki/Tiek,https://wynncraft.wiki.gg/images/Sorceress_Tiek.png?d01463,Taproot (Quest) (1.19)
Espren Guard,uncommon,35,1,,False,quest,,,Solace in Pain
Ineos,uncommon,35,1,,False,quest,,https://wynncraft.wiki.gg/images/Ineos.png?4ac722,The Breaking Point
Adder,uncommon,35,1,,False,quest,,https://wynncraft.wiki.gg/images/Adder.png?fffb26,The Strong Survive
Arnod,uncommon,34,2,Anrod,False,quest,https://wynncraft.wiki.gg/wiki/Arnod,https://wynncraft.wiki.gg/images/Arnod.png?2a4992,From the Mountains | From the Mountains (1.19)
Runo,uncommon,34,2,,False,quest,https://wynncraft.wiki.gg/wiki/Runo,https://wynncraft.wiki.gg/images/Runo.png?d0dcc1,Hollow Serenity | Runo
Leif Pyle,uncommon,34,1,,False,quest,https://wynncraft.wiki.gg/wiki/Leif_Pyle,https://wynncraft.wiki.gg/images/LeifPyle.png?b08a4b,Leif Pyle
The Assistant,uncommon,34,3,,False,"quest,template",https://wynncraft.wiki.gg/wiki/The_Assistant,https://wynncraft.wiki.gg/images/TheAssistant.png?88ebf9,Potion Making | Potion Making (1.14) | The Assistant
Obsessor,uncommon,33,2,,False,quest,https://wynncraft.wiki.gg/wiki/Obsessor,https://wynncraft.wiki.gg/images/Obsessor%28Fake%29.png?94d052,A Journey Beyond | Obsessor
Mané,uncommon,33,1,,False,quest,,https://wynncraft.wiki.gg/images/Man%C3%A9.png?bacdae,Aldorei's Secret Part II
Kreimu,uncommon,33,1,,False,quest,https://wynncraft.wiki.gg/wiki/Kreimu,https://wynncraft.wiki.gg/images/Kreimu.png?625bea,All Roads to Peace
Customs Clerk,uncommon,33,1,,False,quest,https://wynncraft.wiki.gg/wiki/Customs_Clerk,https://wynncraft.wiki.gg/images/CustomsClerk.png?9791e4,Customs Clerk
Frank,uncommon,33,3,,False,"quest,template",https://wynncraft.wiki.gg/wiki/Frank,https://wynncraft.wiki.gg/images/Frank.png?a0277a,Frank | Recipe For Disaster | Recipe For Disaster (1.20)
Mercenary Leader,uncommon,33,2,Franza,False,quest,https://wynncraft.wiki.gg/wiki/Mercenary_Leader,https://wynncraft.wiki.gg/images/MercenaryLeader.png?851578,Lost Royalty | Mercenary Leader
Corkus City Citizen,uncommon,33,1,,False,quest,https://wynncraft.wiki.gg/wiki/Corkus_City_Citizen,https://wynncraft.wiki.gg/images/CorkusCityCitizen%28Aqueduct%29.png?2395a8,Mixed Feelings
Lucio,uncommon,32,1,,False,quest,https://wynncraft.wiki.gg/wiki/Lucio,https://wynncraft.wiki.gg/images/LucioCropped.png?accdb4,A Journey Beyond
Gelibord Citizen,uncommon,32,4,,False,"quest,template",,https://wynncraft.wiki.gg/images/GelibordCitizen.png?9e4f30,A Headless History | Citizen | Forbidden Prison (Quest) | Gelibord Citizen (NPC)
Bip,uncommon,32,2,,False,quest,https://wynncraft.wiki.gg/wiki/Bip,https://wynncraft.wiki.gg/images/Bip.png?e0f668,Bip | Hollow Serenity
Brie,uncommon,32,3,,False,"quest,template",https://wynncraft.wiki.gg/wiki/Brie,https://wynncraft.wiki.gg/images/Brie.png?c6e4fa,Brie | Recipe For Disaster | Recipe For Disaster (1.20)
Kale,uncommon,32,3,,False,"quest,template",https://wynncraft.wiki.gg/wiki/Kale,https://wynncraft.wiki.gg/images/Kale.png?c78239,Kale | Recipe For Disaster | Recipe For Disaster (1.20)
Kroac,uncommon,31,3,,False,"quest,template",https://wynncraft.wiki.gg/wiki/Kroac,https://wynncraft.wiki.gg/images/Kroac.png?692a63,Kroac | The Shadow of the Beast | The Shadow of the Beast (1.19)
Hyloch Citizen,uncommon,30,2,,False,quest,,https://wynncraft.wiki.gg/images/HylochCitizen.png?21bb09,Apotheosis (Quest) | Overture to Despair
Selchar Citizen,uncommon,30,2,,False,"quest,template",,https://wynncraft.wiki.gg/images/SelcharCitizen.png?a32600,Citizen | Selchar Citizen (NPC)
Herbert,uncommon,30,1,,False,quest,,https://wynncraft.wiki.gg/images/Herbert.png?12f55a,Dr. Legendary
Guardian of The Forest,uncommon,30,2,Guardian of the Forest,False,quest,https://wynncraft.wiki.gg/wiki/Guardian_of_The_Forest,https://wynncraft.wiki.gg/images/GuardianofTheForest.png?3d47fd,Finding The Light (1.19) | Finding the Light
Nakoba,uncommon,30,3,,False,"quest,template",https://wynncraft.wiki.gg/wiki/Nakoba,https://wynncraft.wiki.gg/images/Naboka.png?3e12ed,From the Bottom | From the Bottom (1.20) | Nakoba
Rileen,uncommon,30,3,,False,"quest,template",https://wynncraft.wiki.gg/wiki/Rileen,https://wynncraft.wiki.gg/images/Rileen.png?2e0554,Rileen | The Shadow of the Beast | The Shadow of the Beast (1.19)
Elrund,uncommon,29,2,,True,quest,https://wynncraft.wiki.gg/wiki/Elrund,https://wynncraft.wiki.gg/images/Elrund.png?e5d11d,Aldorei's Secret Part I (1.19) | Aldorei's Secret Part II (1.20)
Mona,uncommon,29,1,,False,quest,,https://wynncraft.wiki.gg/images/Mona.png?f84ad2,Aldorei's Secret Part II
Referick,uncommon,29,2,,False,quest,https://wynncraft.wiki.gg/wiki/Referick,https://wynncraft.wiki.gg/images/Referick.png?723413,A Headless History | The Headless Hunt
Dereg,uncommon,29,3,,False,"quest,template",https://wynncraft.wiki.gg/wiki/Dereg,https://wynncraft.wiki.gg/images/Dereg.png?7b862c,Dereg | The Shadow of the Beast | The Shadow of the Beast (1.19)
Enkser,uncommon,29,3,,False,"quest,template",https://wynncraft.wiki.gg/wiki/Enkser,https://wynncraft.wiki.gg/images/Enkser.png?3acd5e,Enkser | Stable Story | Stable Story (1.14)
Old Mage,uncommon,29,1,,False,template,https://wynncraft.wiki.gg/wiki/Old_Mage,https://wynncraft.wiki.gg/images/OldMage.png?aa8156,Old Mage
Ormrod,uncommon,29,2,,False,template,https://wynncraft.wiki.gg/wiki/Ormrod,https://wynncraft.wiki.gg/images/Ormrod.png?455cce,Ormrod | Wrath of the Mummy
Talking Mushroom,uncommon,28,9,,False,"quest,template",https://wynncraft.wiki.gg/wiki/Talking_Mushroom,https://wynncraft.wiki.gg/images/Talking_mushroom_log1.png?963b91,A Croaking Cryptid | C.S.S. Sunrise Captain | Far Above the Clouds | Gerald the Yeti | Jaspur | Recipe For Disaster | Seaskipper Captain | The Envoy | World Encounters
Aunoa,uncommon,28,2,,False,quest,https://wynncraft.wiki.gg/wiki/Aunoa,https://wynncraft.wiki.gg/images/Aunoa.png?2debdd,Aunoa | Hollow Serenity
Dr. Urelix,uncommon,28,3,,False,quest,https://wynncraft.wiki.gg/wiki/Dr._Urelix,https://wynncraft.wiki.gg/images/Dr.Urelix%28AnIronHeartPartII%2CFactory%29.png?ff1153,An Iron Heart Part II | An Iron Heart Part II (1.19) | Taproot
Irlok,uncommon,28,2,,False,quest,https://wynncraft.wiki.gg/wiki/Irlok,https://wynncraft.wiki.gg/images/Irlok.png?86bca7,Beyond the Grave | Beyond the Grave (1.20)
Thanos Dwarf,uncommon,28,1,,False,quest,,https://wynncraft.wiki.gg/images/ThanosDwarf%281%29.png?2f93e3,Citizen
Elder Astal,uncommon,28,2,,False,quest,https://wynncraft.wiki.gg/wiki/Elder_Astal,https://wynncraft.wiki.gg/images/ElderAstal%28Frozen%29.png?943e2f,Elder Astal | The Breaking Point
Edula,uncommon,28,2,,False,quest,https://wynncraft.wiki.gg/wiki/Edula,https://wynncraft.wiki.gg/images/Edula.png?9dda9b,Dwarves and Doguns Part III | Edula
Engineer Eric,uncommon,28,2,,False,quest,https://wynncraft.wiki.gg/wiki/Engineer_Eric,https://wynncraft.wiki.gg/images/EngineerEric.png?ebdb5a,Flight in Distress | Flight in Distress (1.20)
Forve,uncommon,28,1,,True,quest,https://wynncraft.wiki.gg/wiki/Forve,https://wynncraft.wiki.gg/images/Forve%28Mission%2CDefendingtheGate%29.png?7e8c49,Forve
Espren Citizen,uncommon,28,2,,False,quest,,https://wynncraft.wiki.gg/images/EsprenCitizen.png?db7897,Espren Citizen (NPC) | Solace in Pain
Bory,uncommon,28,1,,False,quest,,,Hunger of the Gerts Part II
Grandon,uncommon,28,1,,False,quest,https://wynncraft.wiki.gg/wiki/Grandon,https://wynncraft.wiki.gg/images/Grandon.png?2363e2,Lost Soles
Nikoler,uncommon,28,1,,False,template,,https://wynncraft.wiki.gg/images/Nikoler%28Stage7_1%29.png?3cb0d2,Purple and Blue
Skyraider Admirer,uncommon,28,1,,False,quest,https://wynncraft.wiki.gg/wiki/Skyraider_Admirer,https://wynncraft.wiki.gg/images/SkyraiderAdmirer.png?d19948,Skyraider Admirer
Gurix,uncommon,28,1,,False,quest,https://wynncraft.wiki.gg/wiki/Gurix,https://wynncraft.wiki.gg/images/Gurix.png?bc0fa3,The Hero of Gavel
Togak,uncommon,27,2,,True,quest,https://wynncraft.wiki.gg/wiki/Togak,https://wynncraft.wiki.gg/images/Togak.png?44c235,Aldorei's Secret Part I (1.19) | Aldorei's Secret Part II (1.20)
Mechanic,uncommon,27,1,,False,quest,,,Acquiring Credentials
Qunit,uncommon,27,3,,False,quest,https://wynncraft.wiki.gg/wiki/Qunit,https://wynncraft.wiki.gg/images/Qunit.png?fac5c5,Ann | Hollow Serenity | Qunit
C.S.S. Sunrise Captain,uncommon,27,1,,False,quest,https://wynncraft.wiki.gg/wiki/C.S.S._Sunrise_Captain,https://wynncraft.wiki.gg/images/CSSSunriseCaptain.png?40a059,C.S.S. Sunrise Captain
Doubiss,uncommon,27,3,,False,quest,https://wynncraft.wiki.gg/wiki/Doubiss,https://wynncraft.wiki.gg/images/Doubiss.png?7c8ef9,Crop Failure | Crop Failure (1.19) | Doubiss
Silverbull Rank Expert,uncommon,27,1,,False,quest,https://wynncraft.wiki.gg/wiki/Silverbull_Rank_Expert,https://wynncraft.wiki.gg/images/SilverbullRankExpert.png?5a693f,Silverbull Rank Expert
Corkus Delegate,uncommon,27,2,,False,quest,https://wynncraft.wiki.gg/wiki/Corkus_Delegate,https://wynncraft.wiki.gg/images/CorkusDelegate.png?5f6c85,The Envoy Part I | The Envoy Part II
Almuj Bank Guard,uncommon,26,2,,False,template,https://wynncraft.wiki.gg/wiki/Almuj_Bank_Guard,https://wynncraft.wiki.gg/images/AlmujBankGuard.png?f62ff2,A Sandy Scandal | Almuj Bank Guard
Dalben,uncommon,26,2,,False,quest,https://wynncraft.wiki.gg/wiki/Dalben,https://wynncraft.wiki.gg/images/Dalben.png?47f5b9,Beneath the Depths | Dalben
Rymek Citizen,uncommon,26,2,,False,"quest,template",,https://wynncraft.wiki.gg/images/RymekCitizen%28NPC%29.png?c79a18,Citizen | Rymek Citizen (NPC)
Homeless Mayor,uncommon,26,2,,False,template,https://wynncraft.wiki.gg/wiki/Homeless_Mayor,https://wynncraft.wiki.gg/images/HomelessMayor.png?47fda1,Homeless Mayor | Tempo Town Trouble
Dwice,uncommon,26,1,,False,quest,,,The Feathers Fly Part II
Bandit,uncommon,25,4,,False,"quest,template",https://wynncraft.wiki.gg/wiki/Bandit,https://wynncraft.wiki.gg/images/Bandit%28Removed%29.png?26416f,A Sandy Scandal | Bandit (NPC) | Kingdom of Sand | Wrath of the Mummy
Thesead Citizen,uncommon,25,1,,False,quest,,https://wynncraft.wiki.gg/images/TheseadCitizen.png?55da7a,Citizen
Barkeep Romu,uncommon,25,2,,False,quest,,https://wynncraft.wiki.gg/images/BarkeepRomu.png?917322,Citizen | Undersupply
Merchant Risch,uncommon,25,2,,False,quest,,https://wynncraft.wiki.gg/images/MerchantRisch.png?8fee13,Citizen | Undersupply
Elderly Woman,uncommon,25,2,,False,quest,,,Celebrations in Smoke | Espren Citizen (NPC)
Czytash,uncommon,25,2,,False,quest,https://wynncraft.wiki.gg/wiki/Czytash,https://wynncraft.wiki.gg/images/Czytash.png?3e3aa3,Czytash | Zhight Island (Quest)
Prison Guard,uncommon,25,2,,False,quest,https://wynncraft.wiki.gg/wiki/Prison_Guard,https://wynncraft.wiki.gg/images/PrisonGuard.png?ede81e,Forbidden Prison (Quest) | Forbidden Prison (Quest) (1.19)
Rismor,uncommon,25,1,,True,quest,https://wynncraft.wiki.gg/wiki/Rismor,https://wynncraft.wiki.gg/images/Rismor.png?ba635f,Eye of the Storm
Old Siwel,uncommon,25,2,,False,quest,https://wynncraft.wiki.gg/wiki/Old_Siwel,https://wynncraft.wiki.gg/images/OldSiwel.png?95ffcd,Haven Antiquity | Old Siwel
Dado,uncommon,25,2,,False,quest,https://wynncraft.wiki.gg/wiki/Dado,https://wynncraft.wiki.gg/images/Dado.png?dd822a,Rise of the Quartron | Rise of the Quartron (1.19)
Fisherman,uncommon,25,2,,False,quest,,https://wynncraft.wiki.gg/images/FishyZombie.png?8a1f62,Teachings of Old | World Encounters
Coulmis,uncommon,25,1,,False,quest,,https://wynncraft.wiki.gg/images/Coulmis.png?cf5736,The Thanos Depository
Bandit Leader,uncommon,24,3,,False,template,,https://wynncraft.wiki.gg/images/BanditLeader%28NPC%29.png?5e7503,A Sandy Scandal | Kingdom of Sand | Rymek Thief
Bylvis,uncommon,24,2,,False,"quest,template",https://wynncraft.wiki.gg/wiki/Bylvis,https://wynncraft.wiki.gg/images/Bylvis.png?a639c3,A Confused Farmer | Tunnel Trouble
Bishop Kaideus,uncommon,24,3,The Priest,False,"quest,template",https://wynncraft.wiki.gg/wiki/Bishop_Kaideus,https://wynncraft.wiki.gg/images/BishopKaideus.png?ff9b82,Bishop Kaideus | Brothers Return | Grave Digger
List of Passive Mobs,uncommon,24,2,Troms Citizen,False,"quest,template",https://wynncraft.wiki.gg/wiki/List_of_Passive_Mobs,,Citizen | Troms Citizen (NPC)
Ahmsord Citizen,uncommon,24,2,,False,"quest,template",,https://wynncraft.wiki.gg/images/AhmsordCitizen.png?d17ade,Citizen | Ragni Ball
Gendarme Soldier,uncommon,24,2,,False,quest,,,Ensemble of Hope | Queen's Recruit
Omango,uncommon,24,3,,False,"quest,template",https://wynncraft.wiki.gg/wiki/Omango,https://wynncraft.wiki.gg/images/Omango.png?1ffe5d,Omango | Underwater | Underwater (1.19)
Dejol,uncommon,24,2,,False,quest,https://wynncraft.wiki.gg/wiki/Dejol,https://wynncraft.wiki.gg/images/Dejol.png?45bc77,The Lost | The Lost (1.20)
